	83bd27e24c3de9df	2013-12-19 18:52:42	520
	83bd27e24c3de9df	2013-12-19 18:52:47	7965
	83bd27e24c3de9df	2013-12-19 18:52:47	317
1002	8550102e445ac626	2013-12-19 21:24:04	1444
1002	8550102e445ac626	2013-12-19 21:24:04	191
1043	8550102e445ac626	2013-12-19 21:45:44	1307
	8550102e445ac626	2013-12-19 21:49:52	330
	8550102e445ac626	2013-12-19 21:49:57	329
	8550102e445ac626	2013-12-19 21:49:57	335
1010	8550102e445ac626	2013-12-20 08:15:43	890
1010	8550102e445ac626	2013-12-20 08:25:17	2900
1021V	8550102e445ac626	2013-12-20 08:36:52	2176
1065A	8550102e445ac626	2013-12-20 08:40:05	2023
1023	8a916e41f14e7347	2013-12-20 08:42:53	567
1023	8a916e41f14e7347	2013-12-20 08:42:53	79
1023	8a916e41f14e7347	2013-12-20 08:49:03	741
1023	8a916e41f14e7347	2013-12-20 08:49:23	221
1023	8a916e41f14e7347	2013-12-20 08:49:23	59
1023	8a916e41f14e7347	2013-12-20 08:49:31	180
1221J	8550102e445ac626	2013-12-20 08:56:44	327
1066A	a4ddad0baf3b86ae	2013-12-20 08:58:07	2786
1066A	a4ddad0baf3b86ae	2013-12-20 08:58:07	70
1066A	a4ddad0baf3b86ae	2013-12-20 08:58:07	73
1066A	a4ddad0baf3b86ae	2013-12-20 08:58:07	239
1066A	a4ddad0baf3b86ae	2013-12-20 08:58:07	87
1009	8a916e41f14e7347	2013-12-20 08:59:34	715
1009	8a916e41f14e7347	2013-12-20 08:59:34	79
1070V	a4ddad0baf3b86ae	2013-12-20 09:05:52	1232
1009	8a916e41f14e7347	2013-12-20 08:59:34	124
1009	8a916e41f14e7347	2013-12-20 08:59:34	75
1009	8a916e41f14e7347	2013-12-20 08:59:34	110
3001N	1e2ee8e037a763ac	2013-12-20 10:04:07	807
3001N	1e2ee8e037a763ac	2013-12-20 10:05:30	204
1009	8a916e41f14e7347	2013-12-20 08:59:34	78
3001R	1e2ee8e037a763ac	2013-12-20 11:33:34	544
3001R	1e2ee8e037a763ac	2013-12-20 11:34:03	430
3001R	1e2ee8e037a763ac	2013-12-20 11:34:03	231
3001R	1e2ee8e037a763ac	2013-12-20 11:36:23	1212
3001R	1e2ee8e037a763ac	2013-12-20 11:37:32	770
3001R	1e2ee8e037a763ac	2013-12-20 11:37:44	678
3001R	1e2ee8e037a763ac	2013-12-20 11:40:24	943
3001R	1e2ee8e037a763ac	2013-12-20 11:41:02	512
3001R	1e2ee8e037a763ac	2013-12-20 11:41:02	545
3001R	1e2ee8e037a763ac	2013-12-20 11:42:36	745
3001R	1e2ee8e037a763ac	2013-12-20 11:44:14	582
3001R	1e2ee8e037a763ac	2013-12-20 11:45:19	518
3001R	1e2ee8e037a763ac	2013-12-20 11:47:20	447
3001R	1e2ee8e037a763ac	2013-12-20 11:48:55	533
3001R	1e2ee8e037a763ac	2013-12-20 11:50:06	468
3001R	1e2ee8e037a763ac	2013-12-20 11:51:41	461
3001R	1e2ee8e037a763ac	2013-12-20 11:53:00	465
3001R	1e2ee8e037a763ac	2013-12-20 11:53:40	485
3001R	1e2ee8e037a763ac	2013-12-20 11:53:53	466
3001R	1e2ee8e037a763ac	2013-12-20 11:53:54	623
3001R	1e2ee8e037a763ac	2013-12-20 11:58:00	293
3001R	1e2ee8e037a763ac	2013-12-20 12:01:19	674
3001R	1e2ee8e037a763ac	2013-12-20 12:01:56	461
3001R	1e2ee8e037a763ac	2013-12-20 12:05:08	554
3001R	1e2ee8e037a763ac	2013-12-20 12:14:01	2412
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	5848
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	2876
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	325
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	306
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	310
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	342
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	315
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	319
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	322
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	321
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	302
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	310
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	337
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	308
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	299
3001R	1e2ee8e037a763ac	2013-12-20 12:14:05	330
