xMean,yMean,zMean,xVar,yVar,zVar,s2Mean,s2Var,tilt,energy,kurtosis,tag
2.063609,-10.030028,-1.016932,24.718719,56.788445,58.371494,245.210999,62873.460938,0.960181,61057.570313,8.227342,running
2.021732,-9.852146,-0.850990,24.367994,55.677616,59.965919,241.325592,62428.183594,0.960376,60090.101563,8.524239,running
1.974952,-10.037566,-0.891633,24.917425,55.938599,59.859089,245.598175,62257.035156,0.963399,61153.972656,8.421540,running
1.959819,-10.116391,-0.751851,24.911098,54.253834,56.392097,241.760162,61819.296875,0.964459,60198.300781,8.689117,running
1.782338,-10.159606,-0.638224,23.806799,54.337017,54.351551,238.764908,61341.683594,0.970575,59452.480469,8.981750,running
1.644458,-10.318885,-0.763433,23.588812,53.200893,53.832855,239.864426,60550.710938,0.975531,59726.250000,9.225769,running
1.856779,-10.349089,-0.741670,24.467728,53.476974,54.089748,242.605530,61310.378906,0.969286,60408.785156,8.853834,running
1.714631,-10.323669,-0.638152,24.734610,53.758652,54.042576,241.928925,61503.140625,0.973506,60240.308594,8.808712,running
1.814506,-10.079567,-0.536088,24.028320,55.540684,54.315914,238.524719,62296.738281,0.969088,59392.664063,8.652718,running
1.954924,-10.075657,-0.817823,24.742764,57.119026,59.716713,247.019333,69954.375000,0.964355,61507.824219,7.250816,running
1.912818,-9.836234,-0.757568,24.654989,55.808872,60.924431,241.804733,69307.492188,0.964201,60209.394531,7.613513,running
1.886926,-10.032136,-0.723588,25.319456,54.421558,61.355156,245.257339,68968.203125,0.966396,61069.101563,7.588106,running
1.876893,-10.188663,-0.829213,25.472134,50.971127,60.586491,244.498596,69219.664063,0.967700,60880.171875,7.541786,running
1.791854,-10.187491,-0.579456,25.339563,50.932175,56.142395,239.213837,66892.812500,0.970429,59564.269531,8.202081,running
1.687730,-10.283730,-0.673165,24.256845,50.563599,55.457092,238.811005,65528.777344,0.974107,59463.953125,8.635096,running
1.842597,-10.296400,-0.664226,25.062908,50.244698,55.366085,240.001129,65373.214844,0.969436,59760.289063,8.629282,running
1.713570,-10.341565,-0.615099,25.041737,50.145897,55.347275,240.273315,65321.437500,0.973626,59828.062500,8.636918,running
1.685851,-10.195521,-0.497730,25.013618,52.163242,55.635906,239.317871,65664.976563,0.973731,59590.156250,8.557978,running
1.911380,-10.156183,-0.685215,25.801889,53.034279,59.217594,244.770279,71714.679688,0.966358,60947.800781,7.283234,running
2.021895,-10.012123,-0.692413,26.626102,52.769192,60.400436,244.044403,71892.921875,0.961555,60767.054688,7.259196,running
1.966190,-9.943341,-0.669886,26.437933,52.541458,60.532188,242.135971,71756.828125,0.963053,60291.855469,7.364262,running
1.937879,-9.998711,-0.779961,26.832630,52.241932,59.991055,242.845047,71947.140625,0.964429,60468.410156,7.286098,running
